csvfile,Ensembl,Ensembl_no_version,Expression,logFC,AveExpr,t,P.Value,adj.P.Val,B
Age.csv,ENSG00000201229.1,ENSG00000201229,underexpressed,-0.690122978479779,2.34603849567444,-18.3559206070245,2.51026801655784e-69,7.02800111262567e-67,146.979598651349
Age.csv,ENSG00000089280.19,ENSG00000089280,overexpressed,0.333407022825304,6.2171075577135,18.2996379721788,6.034263415957729e-69,1.66456931112552e-66,146.09120724833
Age.csv,ENSG00000271771.1,ENSG00000271771,underexpressed,-0.458557852163297,1.77748282327529,-18.2870674987678,7.33816057738986e-69,1.99491617551709e-66,145.904944620412
Age.csv,ENSG00000271886.1,ENSG00000271886,underexpressed,-0.448585407233134,1.77845497899757,-18.2766502299028,8.62911464639336e-69,2.31235617910067e-66,145.739915882015
Age.csv,ENSG00000275379.2,ENSG00000275379,underexpressed,-0.875047764093132,2.72866382140109,-18.2720097403553,9.2748831452196e-69,2.45039800053562e-66,145.679709280261
Age.csv,ENSG00000279679.1,ENSG00000279679,underexpressed,-0.499248569152758,1.836606131753,-18.2689608825688,9.72518030461203e-69,2.53367961324878e-66,145.626857075328
Age.csv,ENSG00000277130.1,ENSG00000277130,underexpressed,-0.482654274232625,2.06398082401873,-18.2663935276588,1.0121232519295e-68,2.60074081639639e-66,145.590727892068
Age.csv,ENSG00000264678.1,ENSG00000264678,underexpressed,-0.786118318416143,2.63173052658,-18.225073319709,1.92314053755199e-68,4.87490137883786e-66,144.954796409976
Age.csv,ENSG00000266598.1,ENSG00000266598,underexpressed,-0.521299990836904,2.00329618021943,-18.2185837015337,2.12693992592349e-68,5.31961855072971e-66,144.853030406126
Age.csv,ENSG00000207217.1,ENSG00000207217,underexpressed,-0.690013438164278,2.6974773794048,-18.2108642019768,2.39759356122146e-68,5.91763947649898e-66,144.734521671991
Age.csv,ENSG00000284324.1,ENSG00000284324,underexpressed,-0.481957926643261,1.6714888460037,-18.1671174516046,4.72376615745093e-68,1.150758514045e-65,144.049513221029
Age.csv,ENSG00000207590.1,ENSG00000207590,underexpressed,-0.45362157564035,1.84942893712877,-18.1546892429812,5.72622218154475e-68,1.37708302155662e-65,143.86542363608
Age.csv,ENSG00000264472.4,ENSG00000264472,underexpressed,-0.443848074180768,1.76824209483448,-18.1500769466281,6.15000999076215e-68,1.46027705578122e-65,143.787704387376
Age.csv,ENSG00000207109.1,ENSG00000207109,underexpressed,-0.494121155181552,1.92565468923958,-18.046087163239,3.06566681554012e-67,7.1882222657377e-65,142.199935857185
Age.csv,ENSG00000202141.1,ENSG00000202141,underexpressed,-0.561300088235522,2.05506532985811,-18.0175159488712,4.76118351582223e-67,1.10259605419498e-64,141.765379906418
Age.csv,ENSG00000088832.18,ENSG00000088832,overexpressed,0.27852309137532,6.48879057120286,17.9862446023169,7.70425897605746e-67,1.76239621796202e-64,141.267893655185
Age.csv,ENSG00000207609.3,ENSG00000207609,underexpressed,-0.551049655139297,2.14259938542664,-17.9801521941871,8.461018783565391e-67,1.91219024508578e-64,141.194281521412
Age.csv,ENSG00000279541.1,ENSG00000279541,underexpressed,-0.516616443864309,2.16555686363473,-17.9705556880472,9.80616296445598e-67,2.18980958199125e-64,141.047526451724
Age.csv,ENSG00000075785.14,ENSG00000075785,overexpressed,0.332111435114434,6.59114518015789,17.9388402062548,1.59622826020568e-66,3.5225940829339e-64,140.543704939331
Age.csv,ENSG00000235637.1,ENSG00000235637,underexpressed,-0.623118697748771,2.26135697741748,-17.8639591791831,5.03081588544394e-66,1.09730284161811e-63,139.422716265259
Age.csv,ENSG00000207440.1,ENSG00000207440,underexpressed,-0.470585670535881,1.86256352498376,-17.8580108537681,5.51034097441286e-66,1.18808018388548e-63,139.3279671362
Age.csv,ENSG00000199082.1,ENSG00000199082,underexpressed,-0.381199852788975,1.7446162334109,-17.8428357226694,6.95039622102241e-66,1.4815401399311201e-63,139.087385710732
Age.csv,ENSG00000224901.1,ENSG00000224901,underexpressed,-0.436823132999323,1.71453554139565,-17.8255481973574,9.05321882952449e-66,1.90809302027214e-63,138.831792276706
Age.csv,ENSG00000207117.1,ENSG00000207117,underexpressed,-0.544416301722632,2.16142594313757,-17.8217139269295,9.59959522190157e-66,2.00076896858255e-63,138.780609005605
Age.csv,ENSG00000201573.1,ENSG00000201573,underexpressed,-0.573801064633254,2.3525822408142,-17.8157814948184,1.05104605220473e-65,2.16230122397323e-63,138.689900952993
